T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
348.0,14.6,21.3,6.0,1017.1,59.0,2.6,8.1,14.8
349.0,15.2,22.2,7.0,1016.5,60.0,2.4,7.0,14.8
353.0,14.4,21.1,6.8,1019.1,65.0,1.6,5.6,13.0
354.0,12.6,21.0,0.0,1018.9,68.0,1.4,2.6,9.4
355.0,13.7,21.0,5.6,1018.8,71.0,1.3,1.5,7.6
359.0,13.3,19.3,5.5,1021.9,62.0,1.9,7.8,14.8
360.0,14.4,21.5,5.5,1021.0,60.0,1.8,8.9,18.3
361.0,16.3,22.5,7.6,1020.6,64.0,1.4,8.1,14.8
1.0,16.9,25.1,6.6,1021.3,65.0,1.1,2.0,7.6
2.0,15.5,24.1,7.7,1021.0,71.0,1.1,3.5,11.1
3.0,14.9,22.8,8.0,1018.4,73.0,1.1,5.9,13.0
7.0,18.3,24.7,11.5,1018.1,85.0,0.5,1.1,7.6
8.0,16.5,24.7,12.0,1017.4,82.0,0.6,8.0,13.0
9.0,16.6,22.2,10.2,1015.4,65.0,1.8,10.0,20.6
13.0,18.2,25.1,12.0,1014.4,77.0,0.6,5.0,11.1
14.0,15.6,23.2,10.9,1015.6,82.0,0.6,4.3,9.4
15.0,13.0,19.0,9.6,1016.9,85.0,0.8,10.7,16.5
19.0,12.3,19.0,8.9,1015.8,91.0,0.5,4.6,9.4
20.0,11.9,15.7,7.5,1018.9,86.0,0.8,6.1,11.1
21.0,12.0,17.0,6.7,1019.8,75.0,1.3,7.6,13.0
25.0,11.7,18.0,6.4,1017.3,76.0,0.8,4.4,13.0
26.0,14.6,21.0,6.8,1015.6,81.0,0.6,2.4,7.6
27.0,17.7,24.0,9.0,1014.5,69.0,1.4,4.4,9.4
31.0,17.4,27.2,12.2,1016.4,79.0,1.1,7.8,18.3
32.0,15.9,22.4,8.4,1017.6,66.0,2.4,7.2,16.5
33.0,15.2,22.6,6.6,1018.2,56.0,1.9,8.9,22.2
34.0,12.7,19.5,8.0,1017.6,69.0,1.3,8.3,18.3
38.0,15.6,24.6,10.7,1015.7,81.0,1.3,2.8,9.4
39.0,17.1,23.2,9.0,1017.1,69.0,1.8,5.9,11.1
40.0,17.6,24.0,10.1,1014.8,67.0,1.4,5.9,14.8
44.0,17.2,26.0,11.5,1014.7,65.0,2.3,5.7,14.8
45.0,17.7,24.4,9.7,1017.0,64.0,2.1,8.0,18.3
46.0,17.4,24.4,10.1,1018.9,61.0,2.3,6.1,11.1
50.0,23.1,30.0,15.6,1014.9,71.0,1.4,4.1,9.4
51.0,23.7,29.8,18.7,1014.0,75.0,1.4,11.1,18.3
52.0,20.9,27.8,15.8,1014.4,62.0,2.6,17.2,27.8
56.0,22.6,30.3,11.5,1015.4,57.0,2.4,5.4,11.1
57.0,22.7,30.4,12.8,1017.7,56.0,2.6,2.4,7.6
58.0,22.7,30.6,13.0,1018.4,58.0,2.4,3.3,7.6
61.0,25.0,31.0,15.0,1015.7,59.0,1.9,1.7,5.4
62.0,24.9,32.4,15.2,1015.0,57.0,1.9,1.7,9.4
63.0,26.8,33.4,15.7,1014.5,52.0,2.4,4.6,9.4
67.0,23.7,29.1,15.8,1011.9,67.0,2.1,5.2,11.1
68.0,23.4,29.1,17.0,1011.4,63.0,2.1,6.7,16.5
69.0,24.3,29.0,15.6,1011.7,56.0,1.9,10.0,18.3
73.0,24.3,31.0,16.8,1010.8,66.0,3.4,6.9,14.8
74.0,22.4,29.5,17.1,1014.1,68.0,3.4,6.3,16.5
75.0,24.1,29.2,14.5,1014.4,59.0,2.4,8.5,18.3
79.0,26.8,33.0,19.0,1008.8,61.0,2.3,3.5,11.1
80.0,27.1,33.0,19.0,1009.9,61.0,2.6,2.8,13.0
81.0,26.5,32.8,19.5,1010.5,45.0,2.9,12.2,25.9
85.0,29.8,36.2,18.2,1012.7,52.0,2.4,3.3,7.6
86.0,24.7,36.6,19.7,1012.8,66.0,2.4,9.4,14.8
87.0,26.2,32.0,19.5,1012.5,56.0,3.1,9.1,14.8
91.0,29.9,37.0,19.5,1008.3,39.0,2.7,4.4,9.4
92.0,30.4,37.5,21.6,1006.3,41.0,2.6,12.0,27.8
93.0,32.3,39.0,21.5,1007.3,39.0,3.4,5.4,13.0
94.0,33.4,39.1,24.8,1008.0,47.0,2.1,2.6,7.6
98.0,29.5,36.9,21.5,1007.2,41.0,2.3,11.3,16.5
99.0,29.3,36.0,18.8,1008.8,37.0,3.2,4.8,11.1
100.0,30.9,37.0,19.0,1008.9,33.0,2.6,6.9,14.8
104.0,31.6,38.0,23.2,1002.6,30.0,3.1,18.7,35.2
105.0,33.1,39.0,24.0,1003.0,26.0,2.6,10.4,24.1
106.0,33.6,40.0,23.0,1003.8,27.0,2.4,9.8,18.3
111.0,34.0,40.6,26.3,1005.5,29.0,2.6,13.9,22.2
112.0,33.9,39.6,25.8,1002.7,28.0,2.7,15.7,29.4
113.0,33.3,39.4,24.8,1000.7,28.0,3.1,8.3,18.3
117.0,33.4,40.0,21.2,1006.3,27.0,2.6,3.7,14.8
118.0,33.2,40.3,22.2,1005.1,29.0,2.3,5.0,14.8
119.0,34.0,40.7,22.2,1004.6,24.0,2.4,11.9,22.2
122.0,34.7,41.5,22.0,1001.7,24.0,2.3,8.5,16.5
123.0,38.0,44.0,23.8,1001.1,20.0,2.6,9.6,29.4
124.0,35.4,44.0,28.0,1003.2,35.0,2.7,6.5,18.3
128.0,33.2,38.0,25.0,1004.6,41.0,2.7,4.6,9.4
129.0,35.1,39.2,25.3,1005.1,40.0,2.4,7.2,11.1
130.0,33.8,39.8,27.6,1005.5,44.0,2.4,9.8,16.5
134.0,37.1,42.0,27.5,1000.7,30.0,2.9,8.3,18.3
135.0,36.5,43.0,27.0,1001.8,35.0,2.6,4.1,22.2
136.0,37.3,42.4,27.4,1002.4,32.0,2.6,4.8,14.8
140.0,37.3,43.7,28.6,997.4,44.0,2.6,9.4,22.2
141.0,37.3,42.8,31.2,996.2,49.0,2.6,8.3,14.8
142.0,36.2,41.5,30.7,995.3,50.0,2.9,10.9,18.3
146.0,32.9,39.0,27.4,996.6,50.0,2.4,9.4,27.8
147.0,34.6,39.0,26.0,998.4,49.0,2.4,6.7,16.5
148.0,37.4,41.0,30.6,998.8,31.0,1.9,14.1,27.8
152.0,32.7,37.5,24.7,1002.3,55.0,2.4,7.4,18.3
153.0,36.0,40.0,26.6,1001.7,46.0,3.1,9.1,22.2
154.0,37.7,42.0,30.7,1000.9,37.0,2.6,11.9,22.2
155.0,37.6,43.0,28.7,1001.2,42.0,2.4,2.8,11.1
159.0,34.6,40.3,28.7,1001.1,51.0,2.7,10.2,25.9
160.0,35.9,41.0,28.6,998.6,50.0,2.6,8.5,18.3
161.0,35.7,41.2,30.0,997.6,48.0,2.3,9.3,27.8
165.0,36.0,41.0,27.6,997.7,46.0,2.4,12.8,25.9
166.0,32.6,40.7,26.0,996.9,59.0,2.6,11.9,29.4
167.0,34.7,38.0,30.5,995.4,55.0,2.4,10.4,18.3
171.0,35.6,40.0,30.0,1000.7,57.0,3.1,9.4,25.9
172.0,31.1,40.1,26.0,999.8,74.0,2.4,7.6,14.8
173.0,32.9,38.6,27.0,999.7,64.0,2.4,8.9,16.5
177.0,35.5,39.9,31.2,999.7,60.0,2.4,9.8,18.3
178.0,34.9,39.6,29.6,999.6,61.0,2.4,7.8,14.8
179.0,34.4,39.4,26.0,998.3,63.0,2.3,8.0,14.8
183.0,32.2,39.8,25.4,995.4,73.0,2.3,8.3,14.8
184.0,28.4,36.6,24.4,998.1,82.0,2.4,5.2,9.4
185.0,29.6,32.0,25.7,997.6,80.0,2.3,2.0,7.6
189.0,33.6,36.7,28.8,996.7,66.0,5.8,5.9,11.1
190.0,30.7,36.9,28.8,996.8,78.0,2.3,5.4,27.8
191.0,33.3,37.0,27.8,996.2,68.0,2.6,6.7,11.1
195.0,31.1,34.2,27.8,997.8,78.0,2.6,6.9,24.1
196.0,30.4,35.4,26.7,997.8,82.0,2.1,5.2,14.8
197.0,31.0,35.2,26.0,997.9,80.0,2.4,7.2,18.3
201.0,32.4,35.2,26.2,999.0,72.0,2.9,13.5,25.9
202.0,34.1,37.0,28.5,998.5,63.0,3.2,13.0,22.2
203.0,34.1,37.2,29.0,998.4,61.0,2.6,11.5,22.2
207.0,31.9,35.0,28.3,1001.3,72.0,2.1,2.8,9.4
208.0,30.3,35.0,27.6,1002.6,83.0,2.3,6.5,16.5
209.0,28.3,35.8,26.8,1003.9,89.0,1.6,4.3,11.1
213.0,29.2,31.0,26.0,1000.0,85.0,1.8,4.6,13.0
214.0,29.1,32.6,26.4,998.6,85.0,1.8,5.9,13.0
215.0,30.9,35.0,26.0,997.4,73.0,2.6,6.5,11.1
216.0,32.6,36.0,26.2,997.8,66.0,3.4,5.6,9.4
220.0,33.3,36.0,26.4,999.7,67.0,3.2,7.8,18.3
221.0,33.4,36.5,28.6,999.9,66.0,2.9,9.8,16.5
222.0,31.2,36.7,28.0,997.8,75.0,2.7,9.1,14.8
226.0,29.9,34.0,25.5,1000.2,80.0,1.4,3.3,11.1
227.0,29.0,33.7,26.0,999.1,85.0,2.1,6.5,22.2
228.0,31.3,34.5,27.0,997.6,71.0,3.2,12.2,22.2
232.0,31.7,34.0,26.4,999.0,71.0,2.6,2.0,11.1
233.0,32.6,36.0,27.6,999.6,70.0,2.7,10.6,20.6
234.0,31.2,35.9,26.1,1000.4,71.0,3.2,8.7,18.3
238.0,31.0,35.0,26.8,1004.1,76.0,2.6,6.1,14.8
239.0,30.8,35.2,26.8,1005.0,76.0,2.7,3.7,18.3
244.0,27.3,33.3,24.0,1002.4,89.0,2.1,7.8,27.8
245.0,27.8,31.0,25.2,1001.3,88.0,2.4,4.6,7.6
246.0,30.7,34.0,25.5,1000.1,73.0,2.6,13.7,22.2
247.0,30.7,34.0,25.0,1000.5,65.0,3.4,12.0,27.8
251.0,31.1,35.0,25.0,1003.1,64.0,3.2,10.4,18.3
252.0,31.3,35.0,26.0,1004.6,63.0,3.2,11.5,18.3
257.0,31.4,36.0,26.7,1006.7,65.0,3.1,8.3,13.0
258.0,30.4,35.6,25.7,1006.5,72.0,2.9,4.3,14.8
263.0,31.7,37.1,26.0,1003.2,63.0,2.9,1.7,5.4
264.0,32.5,37.2,25.3,1003.0,59.0,3.1,1.7,7.6
265.0,32.6,37.4,27.0,1005.8,63.0,2.6,6.3,13.0
269.0,30.7,34.8,25.6,1004.5,66.0,2.6,3.3,11.1
271.0,31.4,35.2,26.0,1005.8,62.0,3.1,2.0,7.6
275.0,31.9,36.0,26.5,1007.2,66.0,2.3,2.4,7.6
276.0,32.4,36.4,27.5,1007.8,65.0,3.1,3.5,11.1
281.0,30.3,35.0,24.7,1007.3,62.0,2.3,7.6,18.3
282.0,29.9,35.0,23.0,1006.3,60.0,2.6,6.7,24.1
283.0,30.0,36.0,22.5,1004.9,63.0,2.6,3.0,7.6
287.0,28.6,35.0,19.8,1008.2,49.0,3.7,11.5,22.2
288.0,28.3,35.2,19.0,1009.4,53.0,3.4,9.1,35.9
289.0,26.8,35.2,17.5,1010.4,57.0,2.6,5.7,13.0
293.0,27.6,35.0,17.6,1007.6,53.0,3.1,5.9,13.0
294.0,27.7,35.0,18.6,1006.9,52.0,3.1,7.8,28.7
295.0,27.3,35.0,19.0,1007.8,55.0,3.2,7.2,27.8
299.0,27.2,34.5,19.5,1009.0,58.0,3.1,11.1,25.9
300.0,26.4,33.0,18.4,1012.4,60.0,2.6,4.6,14.8
301.0,25.4,33.4,16.5,1014.3,62.0,1.6,5.0,14.8
305.0,23.7,31.7,15.5,1017.7,69.0,1.0,1.3,5.4
306.0,23.4,31.1,14.2,1016.0,60.0,1.1,3.0,7.6
307.0,22.6,30.6,15.8,1015.4,69.0,0.5,1.1,5.4
308.0,23.9,32.0,14.5,1015.6,63.0,1.0,2.0,5.4
312.0,23.2,30.2,14.0,1012.6,55.0,1.1,7.4,18.3
313.0,22.5,29.5,15.6,1013.3,56.0,1.1,11.7,22.2
314.0,21.7,30.0,12.2,1014.5,52.0,1.1,6.3,16.5
319.0,22.2,30.2,13.6,1015.6,63.0,1.6,1.5,3.5
320.0,20.8,29.3,12.1,1016.7,58.0,1.8,3.5,9.4
321.0,20.7,28.8,10.6,1017.8,56.0,1.8,6.1,16.5
325.0,20.8,29.0,10.5,1013.9,61.0,1.8,2.6,7.6
326.0,22.0,31.0,10.7,1013.2,56.0,1.8,2.4,14.8
327.0,21.4,30.6,10.8,1011.9,54.0,2.6,7.8,18.3
331.0,24.2,31.0,16.5,1013.0,36.0,2.9,13.9,22.2
332.0,22.7,30.8,13.6,1012.0,38.0,3.4,11.9,20.6
333.0,21.4,29.6,12.7,1013.7,40.0,2.6,8.0,20.6
336.0,19.2,25.9,11.9,1017.0,84.0,0.8,2.6,9.4
337.0,18.9,25.8,11.5,1017.9,77.0,0.6,5.0,13.0
338.0,19.3,27.0,11.7,1019.6,57.0,1.8,5.2,11.1
342.0,17.8,24.8,11.2,1017.0,74.0,0.6,0.7,7.6
343.0,15.8,24.3,8.7,1015.8,77.0,0.8,1.7,7.6
344.0,18.2,27.0,7.7,1013.7,72.0,0.6,1.1,7.6
348.0,19.0,27.1,10.5,1015.1,61.0,1.6,3.3,9.4
349.0,18.0,26.6,10.5,1017.1,61.0,1.9,8.0,14.8
350.0,17.2,24.2,10.0,1017.2,58.0,1.6,9.3,22.2
354.0,16.3,23.0,6.6,1016.9,61.0,1.0,9.4,20.6
355.0,18.1,24.0,11.2,1015.4,56.0,1.8,15.9,25.9
356.0,17.8,25.0,10.7,1015.8,54.0,2.3,9.4,22.2
360.0,13.9,24.5,11.4,1015.0,95.0,0.6,8.7,14.8
361.0,16.3,23.0,9.8,1016.9,78.0,1.1,7.4,16.5
362.0,16.3,23.4,9.0,1017.3,68.0,1.3,7.8,18.3
